iter	Passed	Remaining
290	1672	4075
291	1676	4066
292	1681	4057
293	1685	4048
294	1690	4039
295	1695	4031
296	1699	4022
297	1703	4013
298	1708	4005
299	1712	3996
300	1716	3987
301	1721	3978
302	1725	3970
303	1730	3961
304	1734	3952
305	1739	3944
306	1743	3936
307	1748	3928
308	1753	3920
309	1758	3913
310	1762	3903
311	1766	3896
312	1772	3890
313	1776	3881
314	1781	3873
315	1786	3866
316	1790	3857
317	1794	3848
318	1799	3841
319	1804	3833
320	1807	3824
321	1812	3817
322	1818	3810
323	1822	3801
324	1826	3793
325	1832	3788
326	1837	3782
327	1843	3777
328	1848	3769
329	1853	3762
330	1858	3756
331	1864	3750
332	1869	3745
333	1875	3739
334	1880	3733
335	1885	3726
336	1890	3719
337	1896	3714
338	1902	3709
339	1907	3702
340	1912	3695
341	1920	3694
342	1925	3687
343	1930	3680
344	1936	3675
345	1942	3670
346	1947	3665
347	1953	3659
348	1957	3651
349	1963	3646
350	1968	3639
351	1974	3634
352	1980	3630
353	1986	3624
354	1992	3620
355	1996	3612
356	2001	3605
357	2006	3598
358	2010	3590
359	2014	3582
360	2019	3574
361	2024	3567
362	2028	3559
363	2032	3551
364	2037	3544
365	2041	3536
366	2046	3528
367	2051	3523
368	2055	3515
369	2060	3508
370	2065	3501
371	2069	3493
372	2073	3485
373	2077	3478
374	2082	3470
375	2086	3463
376	2091	3455
377	2095	3448
378	2099	3440
379	2104	3433
380	2108	3426
381	2113	3418
382	2117	3411
383	2122	3404
384	2127	3398
385	2131	3391
386	2137	3385
387	2142	3378
388	2147	3373
389	2151	3365
390	2156	3359
391	2161	3351
392	2165	3344
393	2169	3337
394	2174	3330
395	2178	3323
396	2183	3316
397	2187	3309
398	2192	3302
399	2196	3294
400	2200	3287
401	2205	3280
402	2209	3273
403	2215	3268
404	2220	3262
405	2225	3256
406	2231	3251
407	2236	3245
408	2242	3239
409	2247	3234
410	2252	3228
411	2258	3223
412	2264	3218
413	2269	3211
414	2273	3205
415	2278	3199
416	2284	3193
417	2291	3191
418	2297	3185
419	2303	3180
420	2308	3174
421	2313	3168
422	2318	3162
423	2323	3156
424	2328	3150
425	2333	3144
426	2338	3137
427	2344	3132
428	2349	3127
429	2355	3122
430	2360	3116
431	2365	3110
432	2370	3104
433	2375	3097
434	2380	3091
435	2384	3084
436	2388	3077
437	2393	3071
438	2397	3064
439	2402	3057
440	2407	3051
441	2412	3046
442	2417	3040
443	2422	3033
444	2427	3027
445	2431	3020
446	2436	3013
447	2440	3006
448	2445	3001
449	2449	2994
450	2454	2987
451	2459	2981
452	2463	2974
453	2467	2967
454	2472	2961
455	2476	2954
456	2480	2947
457	2485	2941
458	2489	2934
459	2494	2927
460	2498	2921
461	2502	2914
462	2507	2908
463	2512	2902
464	2517	2896
465	2521	2890
466	2527	2884
467	2532	2878
468	2537	2872
469	2542	2867
470	2546	2860
471	2551	2854
472	2556	2848
473	2560	2841
474	2564	2834
475	2569	2828
476	2573	2821
477	2577	2814
478	2582	2808
479	2586	2801
480	2590	2794
481	2595	2788
482	2599	2782
483	2604	2776
484	2608	2769
485	2612	2763
486	2616	2756
487	2621	2750
488	2626	2744
489	2630	2738
490	2635	2731
491	2640	2725
492	2644	2719
493	2648	2713
494	2653	2706
495	2657	2700
496	2662	2694
497	2666	2688
498	2670	2681
499	2675	2675
500	2679	2668
501	2683	2662
502	2689	2657
503	2693	2650
504	2698	2644
505	2703	2639
506	2707	2633
507	2712	2626
508	2717	2621
509	2721	2614
510	2726	2608
511	2731	2603
512	2735	2596
513	2739	2590
514	2744	2584
515	2748	2578
516	2752	2571
517	2757	2565
518	2762	2560
519	2767	2554
520	2771	2548
521	2776	2542
522	2781	2536
523	2785	2530
524	2790	2524
525	2795	2518
526	2799	2512
527	2803	2506
528	2808	2500
529	2812	2494
530	2817	2488
531	2822	2482
532	2826	2476
533	2830	2470
534	2835	2464
535	2841	2460
536	2847	2455
537	2852	2449
538	2857	2443
539	2862	2438
540	2868	2433
541	2874	2428
542	2879	2423
543	2884	2418
544	2889	2412
545	2895	2407
546	2900	2402
547	2906	2397
548	2911	2391
549	2916	2386
550	2921	2380
551	2927	2375
552	2932	2370
553	2938	2365
554	2943	2360
555	2948	2354
556	2953	2349
557	2958	2343
558	2963	2338
559	2968	2332
560	2974	2327
561	2979	2322
562	2985	2317
563	2991	2312
564	2995	2306
565	3001	2301
566	3005	2295
567	3010	2289
568	3014	2283
569	3018	2277
570	3023	2271
571	3027	2265
572	3032	2259
573	3037	2254
574	3041	2248
575	3045	2242
576	3050	2235
577	3054	2230
578	3059	2224
579	3064	2219
580	3069	2213
581	3075	2208
582	3080	2203
583	3084	2197
584	3090	2192
585	3095	2186
586	3101	2181
587	3106	2176
588	3111	2171
589	3117	2166
590	3122	2161
591	3128	2155
592	3133	2150
593	3138	2145
594	3143	2139
595	3148	2134
596	3153	2128
597	3159	2123
598	3164	2118
599	3169	2112
600	3173	2107
601	3178	2101
602	3183	2095
603	3187	2089
604	3192	2084
605	3197	2078
606	3203	2073
607	3207	2068
608	3213	2062
609	3220	2058
610	3225	2053
611	3230	2048
612	3236	2043
613	3241	2037
614	3247	2032
615	3252	2027
616	3258	2022
617	3264	2017
618	3269	2012
619	3275	2007
620	3280	2002
621	3285	1996
622	3291	1991
623	3296	1986
624	3301	1981
625	3306	1975
626	3311	1969
627	3316	1964
628	3322	1959
629	3327	1954
630	3332	1948
631	3337	1943
632	3342	1937
633	3347	1932
634	3353	1927
635	3358	1922
636	3363	1916
637	3369	1911
638	3374	1906
639	3380	1901
640	3385	1896
641	3390	1890
642	3395	1885
643	3401	1880
644	3406	1874
645	3411	1869
646	3416	1863
647	3421	1858
648	3426	1853
649	3432	1848
650	3436	1842
651	3442	1837
652	3448	1832
653	3453	1827
654	3459	1822
655	3464	1816
656	3469	1811
657	3475	1806
658	3479	1800
659	3484	1794
660	3488	1789
661	3492	1783
662	3497	1777
663	3501	1771
664	3506	1766
665	3510	1760
666	3515	1754
667	3519	1749
668	3523	1743
669	3527	1737
670	3532	1732
671	3537	1726
672	3542	1721
673	3546	1715
674	3550	1709
675	3555	1703
676	3558	1697
677	3563	1692
678	3567	1686
679	3572	1680
680	3576	1675
681	3581	1669
682	3585	1663
683	3589	1658
684	3594	1652
685	3597	1646
686	3602	1641
687	3607	1635
688	3611	1630
689	3615	1624
690	3621	1619
691	3627	1614
692	3631	1608
693	3636	1603
694	3641	1598
695	3647	1593
696	3653	1588
697	3660	1583
698	3667	1579
699	3672	1573
700	3677	1568
701	3682	1563
702	3687	1557
703	3692	1552
704	3698	1547
705	3703	1542
706	3708	1536
707	3713	1531
708	3718	1526
709	3724	1521
710	3729	1516
711	3734	1510
712	3740	1505
713	3745	1500
714	3750	1494
715	3755	1489
716	3760	1484
717	3766	1479
718	3770	1473
719	3775	1468
720	3779	1462
721	3785	1457
722	3790	1452
723	3795	1446
724	3799	1441
725	3804	1435
726	3809	1430
727	3813	1424
728	3817	1419
729	3822	1413
730	3826	1408
731	3831	1402
732	3835	1397
733	3840	1391
734	3845	1386
735	3849	1380
736	3854	1375
737	3858	1369
738	3863	1364
739	3867	1358
740	3872	1353
741	3876	1347
742	3880	1342
743	3884	1336
744	3889	1331
745	3893	1325
746	3898	1320
747	3902	1314
748	3907	1309
749	3911	1303
750	3915	1298
751	3920	1292
752	3925	1287
753	3929	1281
754	3934	1276
755	3938	1271
756	3943	1265
757	3948	1260
758	3953	1255
759	3957	1249
760	3962	1244
761	3966	1238
762	3971	1233
763	3976	1228
764	3981	1223
765	3986	1217
766	3993	1213
767	3998	1207
768	4002	1202
769	4006	1196
770	4011	1191
771	4015	1185
772	4019	1180
773	4024	1175
774	4029	1169
775	4033	1164
776	4038	1159
777	4043	1153
778	4049	1148
779	4053	1143
780	4058	1137
781	4062	1132
782	4068	1127
783	4072	1121
784	4077	1116
785	4082	1111
786	4086	1105
787	4090	1100
788	4095	1095
789	4099	1089
790	4104	1084
791	4108	1079
792	4114	1073
793	4118	1068
794	4122	1063
795	4127	1057
796	4131	1052
797	4136	1047
798	4141	1041
799	4146	1036
800	4150	1031
801	4155	1026
802	4160	1020
803	4165	1015
804	4169	1010
805	4174	1004
806	4178	999
807	4182	993
808	4187	988
809	4192	983
810	4196	977
811	4201	972
812	4205	967
813	4209	961
814	4214	956
815	4219	951
816	4223	945
817	4227	940
818	4231	935
819	4236	930
820	4240	924
821	4245	919
822	4250	914
823	4254	908
824	4259	903
825	4264	898
826	4268	892
827	4272	887
828	4277	882
829	4281	876
830	4285	871
831	4290	866
832	4294	861
833	4299	855
834	4303	850
835	4309	845
836	4313	839
837	4317	834
838	4322	829
839	4326	824
840	4331	818
841	4336	813
842	4340	808
843	4344	803
844	4349	797
845	4354	792
846	4358	787
847	4362	782
848	4367	776
849	4372	771
850	4377	766
851	4382	761
852	4386	756
853	4391	750
854	4396	745
855	4400	740
856	4405	735
857	4411	730
858	4416	724
859	4422	719
860	4426	714
861	4431	709
862	4436	704
863	4440	698
864	4445	693
865	4450	688
866	4465	684
867	4480	681
868	4494	677
869	4508	673
870	4518	669
871	4526	664
872	4533	659
873	4540	654
874	4546	649
875	4552	644
876	4557	639
877	4562	633
878	4566	628
879	4571	623
880	4575	618
881	4580	612
882	4584	607
883	4589	602
884	4593	596
885	4598	591
886	4603	586
887	4607	581
888	4612	575
889	4617	570
890	4623	565
891	4629	560
892	4634	555
893	4640	550
894	4644	544
895	4650	539
896	4656	534
897	4662	529
898	4667	524
899	4672	519
900	4678	514
901	4683	508
902	4690	503
903	4696	498
904	4701	493
905	4707	488
906	4712	483
907	4717	477
908	4722	472
909	4728	467
910	4734	462
911	4739	457
912	4744	452
913	4749	446
914	4754	441
915	4762	436
916	4768	431
917	4775	426
918	4783	421
919	4790	416
920	4794	411
921	4799	406
922	4803	400
923	4807	395
924	4812	390
925	4816	384
926	4821	379
927	4825	374
928	4830	369
929	4834	363
930	4839	358
931	4844	353
932	4848	348
933	4853	342
934	4857	337
935	4862	332
936	4866	327
937	4871	321
938	4875	316
939	4880	311
940	4884	306
941	4889	301
942	4895	295
943	4899	290
944	4904	285
945	4909	280
946	4914	275
947	4918	269
948	4923	264
949	4927	259
950	4932	254
951	4936	248
952	4941	243
953	4946	238
954	4950	233
955	4955	228
956	4960	222
957	4964	217
958	4969	212
959	4974	207
960	4978	202
961	4983	196
962	4987	191
963	4992	186
964	4997	181
965	5001	176
966	5007	170
967	5012	165
968	5017	160
969	5022	155
970	5027	150
971	5032	144
972	5037	139
973	5041	134
974	5046	129
975	5051	124
976	5055	119
977	5060	113
978	5082	109
979	5103	104
980	5118	99
981	5137	94
982	5153	89
983	5169	84
984	5182	78
985	5192	73
986	5200	68
987	5207	63
988	5214	57
989	5220	52
990	5226	47
991	5231	42
992	5236	36
993	5240	31
994	5245	26
995	5250	21
996	5254	15
997	5259	10
998	5264	5
999	5268	0
