iter	RMSE
0	6.865299494
1	6.04626404
2	5.351962396
3	4.797992977
4	4.305327932
5	3.898777341
6	3.557944182
7	3.276677954
8	3.025640248
9	2.806526468
10	2.625755558
11	2.463930279
12	2.310589847
13	2.156994914
14	2.033097028
15	1.925370349
16	1.810905213
17	1.709774954
18	1.617789222
19	1.533580543
20	1.452035328
21	1.376309954
22	1.307419545
23	1.244520276
24	1.182177975
25	1.128153611
26	1.079855564
27	1.033738308
28	0.9901878057
29	0.9515015592
30	0.9171620973
31	0.8858698308
32	0.8564477883
33	0.8279999556
34	0.8013589097
35	0.778448251
36	0.7560022591
37	0.7356937739
38	0.7164797565
39	0.6994216705
40	0.6840786296
41	0.6674882125
42	0.6520121552
43	0.6389873208
44	0.6271598308
45	0.6153745976
46	0.6041718969
47	0.593711821
48	0.5821555607
49	0.5736702717
50	0.5644050107
51	0.5561045414
52	0.5447048143
53	0.5380703683
54	0.5295991758
55	0.5234908641
56	0.5103272795
57	0.5032873316
58	0.4940207967
59	0.4866119668
60	0.4807165294
61	0.473066693
62	0.468240113
63	0.4629124968
64	0.4571480208
65	0.4528945363
66	0.4424741608
67	0.4376921995
68	0.4343064877
69	0.4279762937
70	0.4231888738
71	0.4174515846
72	0.412925185
73	0.4099478143
74	0.4075073332
75	0.4026982811
76	0.3990803341
77	0.3911029442
78	0.3880715104
79	0.3812523845
80	0.3781526998
81	0.3755990337
82	0.3711130299
83	0.3670713334
84	0.3644212291
85	0.3615873694
86	0.359735448
87	0.357761586
88	0.3556201632
89	0.3537122753
90	0.351377657
91	0.3498207332
92	0.3471500663
93	0.3445433039
94	0.3421220861
95	0.3392047026
96	0.3347740788
97	0.3335153391
98	0.3320742977
99	0.3301525744
100	0.327916174
101	0.3229464126
102	0.3167656001
103	0.3148972909
104	0.3093183696
105	0.3078849133
106	0.304361093
107	0.3000917654
108	0.2986419106
109	0.296175533
110	0.2951677043
111	0.2935942938
112	0.2917661542
113	0.2904064756
114	0.285527383
115	0.2839726907
116	0.2823926985
117	0.2810680781
118	0.2799765179
119	0.2792873809
120	0.2778840766
121	0.2752917908
122	0.2717258914
123	0.2705173483
124	0.269539482
125	0.2680552544
126	0.2668746831
127	0.2658043026
128	0.2626194429
129	0.2618595319
130	0.2590339013
131	0.2581325387
132	0.25674955
133	0.254743632
134	0.2538501377
135	0.2528820425
136	0.2522335808
137	0.2512003322
138	0.249768574
139	0.2488264679
140	0.2481991154
141	0.2471747472
142	0.2463490665
143	0.2448314344
144	0.2427554609
145	0.242167053
146	0.2414251258
147	0.2405578432
148	0.2400037642
149	0.23922616
150	0.2371696585
151	0.23488698
152	0.2341617068
153	0.2336312921
154	0.2328637441
155	0.2326183816
156	0.2319700187
157	0.2304296998
158	0.229627225
159	0.2289089553
160	0.2284366372
161	0.2281184732
162	0.2263613222
163	0.224638156
164	0.2241600715
165	0.2234248482
166	0.2226620991
167	0.2222055795
168	0.2216805527
169	0.2213078309
170	0.2207211732
171	0.2203554511
172	0.218948201
173	0.2177136282
174	0.2164182847
175	0.2159364709
176	0.2155817177
177	0.214724821
178	0.2141733634
179	0.2131886207
180	0.212832036
181	0.2122979639
182	0.2119260834
183	0.2113296459
184	0.2102692571
185	0.2101380636
186	0.2092879227
187	0.2086893694
188	0.2083801011
189	0.208255788
190	0.2073577402
191	0.2071460875
192	0.2058156854
193	0.2052256755
194	0.204112906
195	0.2040090545
196	0.2032485029
197	0.2028567298
198	0.2022962337
199	0.2020577094
200	0.201577173
201	0.2011207426
202	0.2007777625
203	0.1998995199
204	0.1994037798
205	0.1991664691
206	0.1987784081
207	0.1981155776
208	0.197853791
209	0.1975079816
210	0.1968723624
211	0.1964279167
212	0.195350767
213	0.1948284114
214	0.194460849
215	0.1933551816
216	0.1928399907
217	0.192485163
218	0.1917614681
219	0.191347697
220	0.1910779945
221	0.1907955956
222	0.1905619419
223	0.1899534555
224	0.1896043762
225	0.1892776361
226	0.1888649499
227	0.1885393663
228	0.1882884484
229	0.1875677656
230	0.1870749412
231	0.1869291524
232	0.1866103901
233	0.1862658215
234	0.1859173697
235	0.1856967421
236	0.184949328
237	0.1847328923
238	0.1843328199
239	0.1837376361
240	0.1834286377
241	0.1833869754
242	0.182775439
243	0.1825423406
244	0.1820703969
245	0.1817889479
246	0.1814340703
247	0.1805901247
248	0.1802860142
249	0.1797741801
250	0.1795745609
251	0.1789646041
252	0.1786231345
253	0.1784986904
254	0.1781371067
255	0.1775886976
256	0.1775338502
257	0.1771437094
258	0.1769981582
259	0.1767746046
260	0.1762322233
261	0.1759869679
262	0.1757681399
263	0.1757171581
264	0.1754931223
265	0.175272417
266	0.1748869475
267	0.1746342662
268	0.1744967752
269	0.1738839819
270	0.1738527862
271	0.1733719822
272	0.1733245482
273	0.1732812101
274	0.172736535
275	0.1723966103
276	0.1721741595
277	0.1719957526
278	0.1717860004
279	0.1717572235
280	0.1715119457
281	0.1706281427
282	0.17026155
283	0.1700487807
284	0.1695758892
285	0.1693996907
286	0.1691036968
287	0.169067482
288	0.1686575737
289	0.1684270347
290	0.1682075992
291	0.1680455229
292	0.1677425274
293	0.1673155125
294	0.1669896169
295	0.1668481679
296	0.1663609733
297	0.1662915618
298	0.166259603
299	0.1658856086
300	0.1656999354
301	0.1652261181
302	0.1649740829
303	0.1649295325
304	0.1648105422
305	0.1646405817
306	0.1646178522
307	0.1645783663
308	0.1641945741
309	0.164053194
310	0.1639892744
311	0.1637630051
312	0.1636040667
313	0.1632122344
314	0.1631908926
315	0.1629188577
316	0.1628813635
317	0.1628039409
318	0.1626497175
319	0.1625259248
320	0.1622882831
321	0.1621207531
322	0.1620589427
323	0.1619033429
324	0.1618956812
325	0.1618683586
326	0.1616871057
327	0.1612072529
328	0.1609462005
329	0.1605485634
330	0.1604714948
331	0.1604488802
332	0.1601865063
333	0.1599130121
334	0.1597452755
335	0.1596604073
336	0.1595195384
337	0.1594044827
338	0.1593026379
339	0.1591541046
340	0.1590472042
341	0.1588542293
342	0.1588044478
343	0.1587817174
344	0.1585106287
345	0.1582480628
346	0.1581406062
347	0.157911938
348	0.1578492463
349	0.1573214008
350	0.1572530796
351	0.1570226843
352	0.1568428272
353	0.1567453128
354	0.1565728749
355	0.1564535757
356	0.1563921025
357	0.1563701025
358	0.156263192
359	0.1562220331
360	0.1560391654
361	0.1558526139
362	0.1555956162
363	0.1553529855
364	0.1552898352
365	0.1551020264
366	0.1548747225
367	0.1547134681
368	0.1546173272
369	0.1543740577
370	0.1539439414
371	0.1538623068
372	0.1538163826
373	0.1536142798
374	0.1534826244
375	0.1532869567
376	0.1532580661
377	0.1530427372
378	0.152839308
379	0.1526913565
380	0.1526050482
381	0.152480102
382	0.1524225412
383	0.1520404368
384	0.1519050076
385	0.1518780213
386	0.1516220654
387	0.1515471688
388	0.1514270831
389	0.1513552858
390	0.1512810769
391	0.1511696589
392	0.1508082039
393	0.1507928841
394	0.1506206309
395	0.1505688297
396	0.1505269872
397	0.1504669231
398	0.1502669171
399	0.1501343697
400	0.1499869989
401	0.1498986199
402	0.1494453812
403	0.1492899593
404	0.1491893312
405	0.1491037996
406	0.1490261409
407	0.148870668
408	0.1487032808
409	0.1485976957
410	0.1484937747
411	0.1482341472
412	0.1481254492
413	0.1480805141
414	0.1478404731
415	0.147705705
416	0.1476618226
417	0.1475925226
418	0.147305785
419	0.1472632027
420	0.147240517
421	0.1472105763
422	0.1469847344
423	0.1468916126
424	0.1466702999
425	0.1465052139
426	0.146380299
427	0.1463558651
428	0.1462696617
429	0.1462023774
430	0.1460245581
431	0.1459844978
432	0.1459025365
433	0.1456476749
434	0.1455864889
435	0.1454504259
436	0.144985901
437	0.1449340819
438	0.1447739025
439	0.1447024373
440	0.144528994
441	0.1443631565
442	0.1442799325
443	0.1437178124
444	0.1434325525
445	0.1434012183
446	0.1432989956
447	0.1431562154
448	0.1430217213
449	0.1430012285
450	0.1425863915
451	0.1424872941
452	0.1424163328
453	0.1422906332
454	0.1421730651
455	0.1420683573
456	0.1418432217
457	0.1416819286
458	0.141518856
459	0.1414805464
460	0.141445618
461	0.1413802625
462	0.1412718597
463	0.1411534549
464	0.141031385
465	0.1407801478
466	0.1406799824
467	0.1406116474
468	0.1405878633
469	0.140289616
470	0.1401965851
471	0.1399822224
472	0.1399738268
473	0.1399365976
474	0.1397958255
475	0.139707657
476	0.1396763156
477	0.1395581151
478	0.139436573
479	0.1393462577
480	0.1392200759
481	0.139177661
482	0.1391499145
483	0.1390930174
484	0.1389306472
485	0.1388945923
486	0.1387067648
487	0.1385883021
488	0.1384203647
489	0.1383173977
490	0.1382406713
491	0.1381299754
492	0.1380955387
493	0.138002723
494	0.1378420577
495	0.1376995013
496	0.1375956124
497	0.1375043205
498	0.137415594
499	0.1373813354
500	0.1372616633
501	0.1372026878
502	0.1370600356
503	0.1369844052
504	0.1369198862
505	0.1368884445
506	0.1368121007
507	0.1366990322
508	0.1366107332
509	0.1365290625
510	0.1364844605
511	0.1364021703
512	0.1363395453
513	0.1363035962
514	0.1362531096
515	0.1360116448
516	0.135945046
517	0.1358216361
518	0.135761855
519	0.1356915891
520	0.1356630166
521	0.1356391714
522	0.1355163232
523	0.1354800665
524	0.1354346504
525	0.1352816731
526	0.1351994749
527	0.1351384214
528	0.1350235536
529	0.1349575165
530	0.1347953675
531	0.1347681926
532	0.1347302897
533	0.1346560403
534	0.1346115739
535	0.1344963201
536	0.1343846847
537	0.1343338925
538	0.1342855291
539	0.1342223985
540	0.1341285757
541	0.1340715159
542	0.1340009873
543	0.1338697939
544	0.1338600931
545	0.1337115012
546	0.1336705579
547	0.1336129143
548	0.1335517467
549	0.1335430775
550	0.1334915889
551	0.1334843612
552	0.1332706583
553	0.1331456857
554	0.1330471206
555	0.1329661729
556	0.1329292087
557	0.1328325754
558	0.1327475461
559	0.1324558328
560	0.1323743749
561	0.1319917289
562	0.1318913712
563	0.1317806949
564	0.1317467675
565	0.1317402484
566	0.1316671825
567	0.1315764764
568	0.1314281479
569	0.1313478353
570	0.1313045297
571	0.1312552861
572	0.1311930661
573	0.131104526
574	0.1310825527
575	0.1310212588
576	0.130969041
577	0.130921812
578	0.1308394234
579	0.1307344286
580	0.1305736669
581	0.1300302716
582	0.129958849
583	0.1299382814
584	0.1298650929
585	0.1296978443
586	0.1296845032
587	0.1295797694
588	0.1294379261
589	0.1293547112
590	0.1291543673
591	0.128909305
592	0.128806628
593	0.1287831633
594	0.1287110101
595	0.1285812904
596	0.1284890902
597	0.1283880908
598	0.1283484825
599	0.1283099443
600	0.1282557914
601	0.1281054344
602	0.1280330208
603	0.1279820923
604	0.127844623
605	0.1278009126
606	0.1276725157
607	0.1275865175
608	0.1275149778
609	0.1273052269
610	0.1271564681
611	0.1270750023
612	0.127004413
613	0.1268625517
614	0.1267896233
615	0.1267516064
616	0.126667776
617	0.1266231371
618	0.1265067687
619	0.1264786534
620	0.126457657
621	0.1264059302
622	0.1263199942
623	0.1262790369
624	0.1261943157
625	0.125878023
626	0.1258161535
627	0.1257272977
628	0.1255876056
629	0.125518024
630	0.1254928672
631	0.1254189064
632	0.1253347639
633	0.1252776544
634	0.1252375114
635	0.1251878511
636	0.1250902395
637	0.1249925014
638	0.1249634149
639	0.1248835085
640	0.124834741
641	0.124784289
642	0.1247164586
643	0.1246519358
644	0.1246507222
645	0.1245750348
646	0.1245342741
647	0.1244566716
648	0.1243637924
649	0.1243627351
650	0.1243318068
651	0.1243007322
652	0.1242535943
653	0.1241767183
654	0.124088424
655	0.1240103717
656	0.1238891526
657	0.1238209811
658	0.1237472102
659	0.1237084312
660	0.1235764991
661	0.1234311909
662	0.1233484553
663	0.1232848554
664	0.1231932067
665	0.123173415
666	0.123133034
667	0.1230354393
668	0.1229182057
669	0.1225133582
670	0.1224745667
671	0.1223817503
672	0.122302286
673	0.1222579514
674	0.1221981656
675	0.1221707829
676	0.1221425458
677	0.1220296482
678	0.1219692769
679	0.1218886924
680	0.1218713969
681	0.1218099376
682	0.1217542683
683	0.1214754739
684	0.1214274117
685	0.1213731571
686	0.1213472993
687	0.1211693062
